no,lastname,firstname,bio,careers
1,Friedman,Milton,Nobel 1997,Rutgers Chicago Columbia Wisc Chicago
2,Samuelson,Paul,Nobel 1970,Chicago Harvard MIT
3,Tobin,James,Nobel 1981,Harvard Yale Berkeley Yale
4,Modigliani,Franco,Nobel 1985,Columbia UIUC CMU MIT
5,Markowitz,Harry,Nobel 1990,Chicago Yale CUNY
6,Bogle,John,Father of Indexing,Princeton
7,Sharpe,William,Nobel 1990,Berkeley UCLA Washington Chicago UCI Stanford
8,Leibowitz,Martin,Bond guru,Chicago Stanford NYU
9,Ellis,Charles,Philosopher of passive investing,Yale Harvard NYU
10,Fama,Eugene,Nobel 2013,Tufts Chicago
11,Scholes,Myron,Nobel 1997,Chicago MIT Chicago Stanford
12,Merton,Robert,Nobel 1997,Columbia Caltech MIT Harvard MIT
13,Thaler,Richard,Nobel 2017,CASE Rochester Stanford Cornell Chicago
14,Siegel,Jeremy,Siegel's paradox,Columbia MIT Chicago Penn
15,Shiller,Robert,Nobel 2013,Mich MIT Minn Penn MIT Yale